id	date	component	pices	invoiceno	addpdf	heat_no	target1	total_produced	remaining	batch_number	verified_by
138	2024-12-26	25366	446	1596	reports/ssb_SupplyOutward-2024-25-1596.pdf	a54060 gz	0	0	0	na	Shivam Sharma
137	2024-12-26	F1624311	438	1595	reports/ssb_SupplyOutward-2024-25-1595.pdf	NA	0	0	0	na	Shivam Sharma
136	2024-12-26	25366	669	1394	reports/ssb_SupplyOutward-2024-25-1594.pdf	50030 GB	0	0	0	na	Shivam Sharma
135	2024-12-26	FG300111	1320	1393	reports/ssb_SupplyOutward-2024-25-1593.pdf	c83885 gv	0	0	0	na	Shivam Sharma
134	2024-12-26	F1624311	146	1592	reports/ssb_SupplyOutward-2024-25-1592.pdf	A30268 gd	0	0	0	na	Shivam Sharma
133	2024-12-26	12512	980	1591	reports/ssb_SupplyOutward-2024-25-1591.pdf	50416	5000	5166	-166	PP-20241214-DA-06	Shivam Sharma
132	2024-12-24	8218 (FORGED ONLY)	539	JW/2024-25/0223	reports/ssb_SupplyOutward-JW-2024-25-0223.pdf	50652 HP	0	0	0	NA	Shivam Sharma
131	2024-12-23	4475.480.062 PINION	70	SSB/2024-25/0030	reports/ssb_SupplyOutward-SSB-2024-25-0030.pdf	NA	0	0	0	NA	Shivam Sharma
130	2024-12-23	60450248	69	2024-25/1590	reports/ssb_SupplyOutward-2024-25-1590.pdf	k24-1315	370	378	-8	PP-20241202-TI-01	Shivam Sharma
129	2024-12-21	6026-0000G	387	JW/2024-25/0217	reports/ssb_SupplyOutward-JW-2024-25-0217.pdf	m193226	600	623	-23	PP-20241207-HI-02	Shivam Sharma
128	2024-12-21	3101-0000G	108	2024-25/1589	reports/ssb_SupplyOutward-2024-25-1589.pdf	m196575	4000	4000	0	PP-20241122-HI-03	Shivam Sharma
127	2024-12-20	3125122	762	2024-25/1587	reports/ssb_SupplyOutward-2024-25-1587.pdf	C83306 GT	0	0	0	NA	Shivam Sharma
126	2024-12-20	3182432	654	2024-25/1586	reports/ssb_SupplyOutward-2024-25-1586.pdf	C83885 GS	0	0	0	NA	Shivam Sharma
125	2024-12-20	0FG3001112	660	2024-25/1585	reports/ssb_SupplyOutward-2024-25-1585.pdf	C83885 GV	0	0	0	NA	Shivam Sharma
124	2024-12-20	0A40026209342	156	2024-25/1583	reports/ssb_SupplyOutward-2024-25-1583.pdf	50090 GA	0	0	0	NA	Shivam Sharma
123	2024-12-20	0F16225112	1392	2024-25/1582	reports/ssb_SupplyOutward-2024-25-1582.pdf	50030 GM	0	0	0	NA	Shivam Sharma
122	2024-12-20	0F16243112	584	2024-25/1581	reports/ssb_SupplyOutward-2024-25-1581.pdf	A30268 GD	0	0	0	NA	Shivam Sharma
121	2024-12-20	A4002621034	12	2024-25/1588	reports/ssb_SupplyOutward-2024-25-1588.pdf	50090	400	370	30	PP-20241211-DA-01	Shivam Sharma
120	2024-12-20	A4002624367	199	2024-25/1584	reports/ssb_SupplyOutward-2024-25-1584.pdf	51963	250	260	-10	PP-20241211-DA-02	Shivam Sharma
119	2024-12-19	FY801511	500	2024-25/1579	reports/ssb_SupplyOutward-2024-25-1579.pdf	50416	500	549	-49	PP-20241214-DA-01	Shivam Sharma
118	2024-12-19	10169794	1659	2024-25/1578	reports/ssb_SupplyOutward-2024-25-1578.pdf	49983	7000	7000	0	PP-20241118-DA-01	Shivam Sharma
117	2024-12-19	3101-0000G	1026	2024-25/1575	reports/ssb_SupplyOutward-2024-25-1575.pdf	m196575	4000	4000	0	PP-20241122-HI-03	Shivam Sharma
116	2024-12-19	8603	620	2024-25/1576	reports/ssb_SupplyOutward-2024-25-1576.pdf	51614	1500	1334	166	PP-20241212-HI-03	Shivam Sharma
115	2024-12-19	6026-0000G	174	JW/2024-25/0216	reports/ssb_SupplyOutward-JW-2024-25-0216.pdf	m193226	600	623	-23	PP-20241207-HI-02	Shivam Sharma
114	2024-12-18	8603	500	2024-25/1573	reports/ssb_SupplyOutward-2024-25-1573.pdf	51614	1500	716	784	PP-20241212-HI-03	Shivam Sharma
113	2024-12-18	8913	100	2024-25/1570	reports/ssb_SupplyOutward-2024-25-1570.pdf	a31482	253	615	-362	PP-20241010-HI-01	Shivam Sharma
112	2024-12-16	8913	100	2024-25/1562	reports/ssb_SupplyOutward-2024-25-1562.pdf	a31482	253	615	-362	PP-20241010-HI-01	Shivam Sharma
111	2024-12-17	4475_480_162	315	SSB/2024-25/0029	reports/ssb_SupplyOutward-SSB-2024-25-0029_6tODY9Z.pdf	k195976	1000	1020	-20	PP-20241119-ZF-02	Shivam Sharma
110	2024-12-17	4475_480_053_DES001	1680	SSB/2024-25/0029	reports/ssb_SupplyOutward-SSB-2024-25-0029.pdf	k195976	5000	5167	-167	PP-20241119-ZF-01	Shivam Sharma
109	2024-12-16	334Y5444	1200	2024-25/1561	reports/ssb_SupplyOutward-2024-25-1561_AMGuZHa.pdf	51964	4000	3178	822	PP-20241125-DA-01	Shivam Sharma
108	2024-12-16	334Y5444	400	2024-25/1561	reports/ssb_SupplyOutward-2024-25-1561_HAfw87a.pdf	51964	4000	3178	822	PP-20241125-DA-01	Shivam Sharma
107	2024-12-16	334Y5493	550	2024-25/1561	reports/ssb_SupplyOutward-2024-25-1561.pdf	50169	2500	4973	-2473	PP-20241002-DA-02	Shivam Sharma
106	2024-12-17	10142862	1020	2024-25/1567	reports/ssb_SupplyOutward-2024-25-1567_ijwZrBW.pdf	49984	2000	2174	-174	PP-20241203-DA-01	Shivam Sharma
105	2024-12-17	8913	100	2024-25/1568	reports/ssb_SupplyOutward-2024-25-1568.pdf	a31482	253	615	-362	PP-20241010-HI-01	Shivam Sharma
104	2024-12-17	10458073	211	2024-25/1567	reports/ssb_SupplyOutward-2024-25-1567.pdf	50448	500	468	32	PP-20241206-DA-04	Shivam Sharma
103	2024-12-07	F1624311	109	1513	reports/ssb_SupplyOutward-2024-25-1513.pdf	A30268 GD	0	0	0	NA	Shivam Sharma
102	2024-12-07	56300	562	1512	reports/ssb_SupplyOutward-2024-25-1512.pdf	J832843 GC	0	0	0	NA	Shivam Sharma
101	2024-12-07	16803	1952	1511	reports/ssb_SupplyOutward-2024-25-1511.pdf	C83885 GL	0	0	0	NA	Shivam Sharma
100	2024-12-07	F1665711	936	1510	reports/ssb_SupplyOutward-2024-25-1510.pdf	48206 GC	0	0	0	NA	Shivam Sharma
99	2024-12-07	53976	346	1509	reports/ssb_SupplyOutward-2024-25-1509.pdf	1509	0	0	0	NA	Shivam Sharma
98	2024-12-07	25453IND	588	1508	reports/ssb_SupplyOutward-2024-25-1508.pdf	C83885 GF	0	0	0	NA	Shivam Sharma
97	2024-12-07	13356	1125	1507	reports/ssb_SupplyOutward-2024-25-1507.pdf	49362 GZ	0	0	0	NA	Shivam Sharma
96	2024-12-07	25366	408	1506	reports/ssb_SupplyOutward-2024-25-1506.pdf	48206 GA	0	0	0	NA	Shivam Sharma
95	2024-12-07	25366	669	1505	reports/ssb_SupplyOutward-2024-25-1505.pdf	A54060 GZ	0	0	0	NA	Shivam Sharma
